model,business,predicted,gemini_score
zero_shot,digital art marketplace in London,"Generate 3 domain names for this business. Business: digital art marketplace in London
Domains: digitalartmarket, londonart, artmarketlondon
","```json
{
  ""digitalartmarket"": {
    ""creativity"": 0.4,
    ""relevance"": 0.9,
    ""validity"": 1.0,
    ""overall"": 0.7666666666666667
  },
  ""londonart"": {
    ""creativity"": 0.6,
    ""relevance"": 0.8,
    ""validity"": 1.0,
    ""overall"": 0.8
  },
  ""artmarketlondon"": {
    ""creativity"": 0.5,
    ""relevance"": 0.9,
    ""validity"": 1.0,
    ""overall"": 0.8
  }
}
```"
zero_shot,university consultancy in Paris,"Generate 3 domain names for this business. Business: university consultancy in Paris
Domains: 
- university-consulting-paris.com 
- ancleguide-paris.com 
- cepr-paris.com
","```json
{
  ""university-consulting-paris.com"": {
    ""creativity"": 0.2,
    ""relevance"": 0.9,
    ""validity"": 1.0,
    ""overall"": 0.7
  },
  ""ancleguide-paris.com"": {
    ""creativity"": 0.6,
    ""relevance"": 0.1,
    ""validity"": 1.0,
    ""overall"": 0.57
  },
  ""cepr-paris.com"": {
    ""creativity"": 0.7,
    ""relevance"": 0.4,
    ""validity"": 1.0,
    ""overall"": 0.7
  }
}
```"
zero_shot,coding bootcamp in Dubai,"Generate 3 domain names for this business. Business: coding bootcamp in Dubai
Domains: CodeDubai, CodingDubai, CodetechDubai
","```json
{
  ""creativity"": 0.6,
  ""relevance"": 0.95,
  ""validity"": 1.0,
  ""overall"": 0.85
}
```"
zero_shot,online bookstore in London,"Generate 3 domain names for this business. Business: online bookstore in London
Domains: Bookstore.co.uk, Books.co.uk, Bookstore.london
","```json
{
  ""creativity"": 0.2,
  ""relevance"": 0.9,
  ""validity"": 1.0,
  ""overall"": 0.7
}
```"
zero_shot,language tutoring service in Dubai,"Generate 3 domain names for this business. Business: language tutoring service in Dubai
Domains: DubaiTutoring.com, ArabicLanguage.com, DubaiTutoring.ae
","```json
{
  ""DubaiTutoring.com"": {
    ""creativity"": 0.6,
    ""relevance"": 0.9,
    ""validity"": 1.0,
    ""overall"": 0.83
  },
  ""ArabicLanguage.com"": {
    ""creativity"": 0.3,
    ""relevance"": 0.6,
    ""validity"": 1.0,
    ""overall"": 0.63
  },
  ""DubaiTutoring.ae"": {
    ""creativity"": 0.6,
    ""relevance"": 0.9,
    ""validity"": 1.0,
    ""overall"": 0.83
  }
}
```"
zero_shot,wedding photography business in San Francisco,"Generate 3 domain names for this business. Business: wedding photography business in San Francisco
Domains: weddingsfran.com, weddingsfran.com.ph, weddingsfran.co.uk
","```json
{
  ""creativity"": 0.2,
  ""relevance"": 0.7,
  ""validity"": 0.9,
  ""overall"": 0.6
}
```"
zero_shot,digital art marketplace in Toronto,"Generate 3 domain names for this business. Business: digital art marketplace in Toronto
Domains: artmarket.ca, Torontoart.com, digitalartmarket.co
","```json
{
  ""artmarket.ca"": {
    ""creativity"": 0.4,
    ""relevance"": 0.9,
    ""validity"": 1.0,
    ""overall"": 0.7666666666666667
  },
  ""Torontoart.com"": {
    ""creativity"": 0.5,
    ""relevance"": 0.8,
    ""validity"": 1.0,
    ""overall"": 0.7666666666666667
  },
  ""digitalartmarket.co"": {
    ""creativity"": 0.6,
    ""relevance"": 0.9,
    ""validity"": 1.0,
    ""overall"": 0.8333333333333334
  }
}
```"
zero_shot,fine dining restaurant in Paris,"Generate 3 domain names for this business. Business: fine dining restaurant in Paris
Domains: finediningparis.com, restaurantparis.fr, paris.finefood.com
","```json
{
  ""finediningparis.com"": {
    ""creativity"": 0.6,
    ""relevance"": 0.9,
    ""validity"": 1.0,
    ""overall"": 0.83
  },
  ""restaurantparis.fr"": {
    ""creativity"": 0.5,
    ""relevance"": 0.9,
    ""validity"": 1.0,
    ""overall"": 0.8
  },
  ""paris.finefood.com"": {
    ""creativity"": 0.7,
    ""relevance"": 0.8,
    ""validity"": 1.0,
    ""overall"": 0.83
  }
}
```"
zero_shot,online bookstore in Toronto,"Generate 3 domain names for this business. Business: online bookstore in Toronto
Domains: Bookstore.on, Bookstore.ca, Bookstore.toronto
","```json
{
  ""creativity"": 0.2,
  ""relevance"": 0.8,
  ""validity"": 1.0,
  ""overall"": 0.67
}
```"
zero_shot,food truck business in New York,"Generate 3 domain names for this business. Business: food truck business in New York
Domains: foodtrucknyc.com, foodtrucknyc.biz, foodtrucknyc.org
","```json
{
  ""creativity"": 0.6,
  ""relevance"": 0.9,
  ""validity"": 1.0,
  ""overall"": 0.833
}
```"
zero_shot,home decor shop in New York,"Generate 3 domain names for this business. Business: home decor shop in New York
Domains: homedecorny.com, newyork.com, decor.co
","```json
{
  ""creativity"": 0.6,
  ""relevance"": 0.8,
  ""validity"": 1.0,
  ""overall"": 0.8
}
```"
zero_shot,cloud solutions provider in Singapore,"Generate 3 domain names for this business. Business: cloud solutions provider in Singapore
Domains: cloud-solutions-sg.com, cloud-solutions-asia.com, cloud-solutions-asia.net
","```json
{
  ""creativity"": 0.2,
  ""relevance"": 0.9,
  ""validity"": 1.0,
  ""overall"": 0.7
}
```"
zero_shot,language tutoring service in Berlin,"Generate 3 domain names for this business. Business: language tutoring service in Berlin
Domains: languagelearning.de, tutoringberlin.com, berlinlanguageinstitute.org
","```json
{
  ""languagelearning.de"": {
    ""creativity"": 0.3,
    ""relevance"": 0.8,
    ""validity"": 1.0,
    ""overall"": 0.7
  },
  ""tutoringberlin.com"": {
    ""creativity"": 0.5,
    ""relevance"": 0.9,
    ""validity"": 1.0,
    ""overall"": 0.8
  },
  ""berlinlanguageinstitute.org"": {
    ""creativity"": 0.6,
    ""relevance"": 0.8,
    ""validity"": 1.0,
    ""overall"": 0.8
  }
}
```"
zero_shot,organic skincare brand in Paris,"Generate 3 domain names for this business. Business: organic skincare brand in Paris
Domains: organicbeautyparis.fr, skincarebytheparis.fr, Parisorganic.fr
","```json
{
  ""organicbeautyparis.fr"": {
    ""creativity"": 0.6,
    ""relevance"": 0.9,
    ""validity"": 1.0,
    ""overall"": 0.83
  },
  ""skincarebytheparis.fr"": {
    ""creativity"": 0.5,
    ""relevance"": 0.8,
    ""validity"": 1.0,
    ""overall"": 0.77
  },
  ""Parisorganic.fr"": {
    ""creativity"": 0.7,
    ""relevance"": 0.8,
    ""validity"": 1.0,
    ""overall"": 0.83
  }
}
```"
zero_shot,online bookstore in Toronto,"Generate 3 domain names for this business. Business: online bookstore in Toronto
Domains: Bookstore.ca, Torontos.com, Canada.net
","```json
{
  ""Bookstore.ca"": {
    ""creativity"": 0.3,
    ""relevance"": 0.8,
    ""validity"": 1.0,
    ""overall"": 0.7
  },
  ""Torontos.com"": {
    ""creativity"": 0.5,
    ""relevance"": 0.6,
    ""validity"": 1.0,
    ""overall"": 0.7
  },
  ""Canada.net"": {
    ""creativity"": 0.2,
    ""relevance"": 0.3,
    ""validity"": 1.0,
    ""overall"": 0.5
  }
}
```"
zero_shot,AI-powered healthcare solution for elderly in rural areas in Dubai,"Generate 3 domain names for this business. Business: AI-powered healthcare solution for elderly in rural areas in Dubai
Domains: 
1. iHealthVet, 
2. ElderlyHealthcare UAE, 
3. AIPH Dubai
","```json
{
  ""iHealthVet"": {
    ""creativity"": 0.6,
    ""relevance"": 0.7,
    ""validity"": 0.9,
    ""overall"": 0.733
  },
  ""ElderlyHealthcare UAE"": {
    ""creativity"": 0.3,
    ""relevance"": 0.8,
    ""validity"": 0.7,
    ""overall"": 0.6
  },
  ""AIPH Dubai"": {
    ""creativity"": 0.7,
    ""relevance"": 0.7,
    ""validity"": 0.9,
    ""overall"": 0.767
  }
}
```"
zero_shot,environmental NGO in Toronto,"Generate 3 domain names for this business. Business: environmental NGO in Toronto
Domains: eco-tourism.ca, green-city.org, nature-advocates.co
","```json
{
  ""eco-tourism.ca"": {
    ""creativity"": 0.6,
    ""relevance"": 0.5,
    ""validity"": 0.9,
    ""overall"": 0.67
  },
  ""green-city.org"": {
    ""creativity"": 0.7,
    ""relevance"": 0.8,
    ""validity"": 0.9,
    ""overall"": 0.8
  },
  ""nature-advocates.co"": {
    ""creativity"": 0.8,
    ""relevance"": 0.9,
    ""validity"": 0.8,
    ""overall"": 0.83
  }
}
```"
zero_shot,real estate agency in Dubai,"Generate 3 domain names for this business. Business: real estate agency in Dubai
Domains: realestate.ae, realestateinDubai.com, realestate.ae
","```json
{
  ""creativity"": 0.1,
  ""relevance"": 0.9,
  ""validity"": 0.9,
  ""overall"": 0.633
}
```"
zero_shot,organic skincare brand in Toronto,"Generate 3 domain names for this business. Business: organic skincare brand in Toronto
Domains: skincaretoronto.com, organicbeautycanada.com, skincareproducts.ca
","```json
{
  ""skincaretoronto.com"": {
    ""creativity"": 0.2,
    ""relevance"": 0.9,
    ""validity"": 1.0,
    ""overall"": 0.7
  },
  ""organicbeautycanada.com"": {
    ""creativity"": 0.6,
    ""relevance"": 0.8,
    ""validity"": 1.0,
    ""overall"": 0.8
  },
  ""skincareproducts.ca"": {
    ""creativity"": 0.3,
    ""relevance"": 0.7,
    ""validity"": 1.0,
    ""overall"": 0.6666666666666666
  }
}
```"
zero_shot,vegan restaurant in Paris,"Generate 3 domain names for this business. Business: vegan restaurant in Paris
Domains:
1. veganparis.com
2. plantbasedinparis.com
3. veganparisboutique.com
","```json
{
  ""creativity"": 0.6,
  ""relevance"": 0.9,
  ""validity"": 1.0,
  ""overall"": 0.83
}
```"
zero_shot,investment firm in Berlin,"Generate 3 domain names for this business. Business: investment firm in Berlin
Domains: 
- investmentfirmberlin.com 
- berniainvestments.com 
- ikoniadevents.com
","```json
{
  ""creativity"": 0.2,
  ""relevance"": 0.7,
  ""validity"": 1.0,
  ""overall"": 0.63
}
```"
zero_shot,vegan restaurant in Toronto,"Generate 3 domain names for this business. Business: vegan restaurant in Toronto
Domains: vegansincanada, torontovegan, veganfoodtoronto
","```json
{
  ""creativity"": 0.4,
  ""relevance"": 0.9,
  ""validity"": 1.0,
  ""overall"": 0.7666666666666667
}
```"
zero_shot,VR gaming center in San Francisco,"Generate 3 domain names for this business. Business: VR gaming center in San Francisco
Domains: 
1. vegamingcenter.sf
2. thevirtualworld.sf
3. psgrafica.com
","```json
{
  ""creativity"": 0.6,
  ""relevance"": 0.8,
  ""validity"": 0.9,
  ""overall"": 0.7666666666666667
}
```"
zero_shot,fast-food chain in Paris,"Generate 3 domain names for this business. Business: fast-food chain in Paris
Domains: fastfoodparis.com, fastfoodparistourism.com, fastfoodparis.eu
","```json
{
  ""fastfoodparis.com"": {
    ""creativity"": 0.3,
    ""relevance"": 0.9,
    ""validity"": 1.0,
    ""overall"": 0.73
  },
  ""fastfoodparistourism.com"": {
    ""creativity"": 0.2,
    ""relevance"": 0.7,
    ""validity"": 1.0,
    ""overall"": 0.63
  },
  ""fastfoodparis.eu"": {
    ""creativity"": 0.3,
    ""relevance"": 0.9,
    ""validity"": 1.0,
    ""overall"": 0.73
  }
}
```"
zero_shot,personal finance advisory in San Francisco,"Generate 3 domain names for this business. Business: personal finance advisory in San Francisco
Domains: finance.sanfrancisco, moneyadvice.com, personalfinance.net
","```json
{
  ""finance.sanfrancisco"": {
    ""creativity"": 0.3,
    ""relevance"": 0.9,
    ""validity"": 0.7,
    ""overall"": 0.63
  },
  ""moneyadvice.com"": {
    ""creativity"": 0.6,
    ""relevance"": 0.8,
    ""validity"": 1.0,
    ""overall"": 0.8
  },
  ""personalfinance.net"": {
    ""creativity"": 0.4,
    ""relevance"": 0.7,
    ""validity"": 1.0,
    ""overall"": 0.7
  }
}
```"
zero_shot,home decor shop in Singapore,"Generate 3 domain names for this business. Business: home decor shop in Singapore
Domains:
- homedecor-singapore.com
- decor-by-sinc.com
- sgdecor.com
","```json
{
  ""creativity"": 0.4,
  ""relevance"": 0.9,
  ""validity"": 1.0,
  ""overall"": 0.7666666666666667
}
```"
zero_shot,luxury watch retailer in New York,"Generate 3 domain names for this business. Business: luxury watch retailer in New York
Domains: luxury-watch.com, newyorkluxurywatches.com, luxury.com/ny
","```json
{
  ""luxury-watch.com"": {
    ""creativity"": 0.3,
    ""relevance"": 0.8,
    ""validity"": 0.9,
    ""overall"": 0.6666666666666666
  },
  ""newyorkluxurywatches.com"": {
    ""creativity"": 0.4,
    ""relevance"": 0.9,
    ""validity"": 0.9,
    ""overall"": 0.7333333333333333
  },
  ""luxury.com/ny"": {
    ""creativity"": 0.7,
    ""relevance"": 0.6,
    ""validity"": 0.1,
    ""overall"": 0.4666666666666667
  }
}
```"
zero_shot,car rental service in San Francisco,"Generate 3 domain names for this business. Business: car rental service in San Francisco
Domains: 
- car-rental-sf.com
- sf-car-rental.com
- car-rental-sanfrancisco.com
","```json
{
  ""creativity"": 0.2,
  ""relevance"": 0.9,
  ""validity"": 1.0,
  ""overall"": 0.7
}
```"
zero_shot,music label in San Francisco,"Generate 3 domain names for this business. Business: music label in San Francisco
Domains: musiclab.com, SFmusic.com, musiclabsanfrancisco.com
","```json
{
  ""musiclab.com"": {
    ""creativity"": 0.6,
    ""relevance"": 0.8,
    ""validity"": 1.0,
    ""overall"": 0.8
  },
  ""SFmusic.com"": {
    ""creativity"": 0.7,
    ""relevance"": 0.9,
    ""validity"": 1.0,
    ""overall"": 0.87
  },
  ""musiclabsanfrancisco.com"": {
    ""creativity"": 0.3,
    ""relevance"": 0.9,
    ""validity"": 1.0,
    ""overall"": 0.73
  }
}
```"
zero_shot,podcast production company in Paris,"Generate 3 domain names for this business. Business: podcast production company in Paris
Domains: podcastproduction.fr, podcastsinparistres.fr, podcastparis.com
","```json
{
  ""creativity"": 0.3,
  ""relevance"": 0.8,
  ""validity"": 1.0,
  ""overall"": 0.7
}
```"
zero_shot,home cleaning service in Dubai,"Generate 3 domain names for this business. Business: home cleaning service in Dubai
Domains: HomeCleaningDubai.com, DubaiHomeCleaning.com, CleanHomeArabia.com
","```json
{
  ""HomeCleaningDubai.com"": {
    ""creativity"": 0.6,
    ""relevance"": 0.9,
    ""validity"": 1.0,
    ""overall"": 0.83
  },
  ""DubaiHomeCleaning.com"": {
    ""creativity"": 0.6,
    ""relevance"": 0.9,
    ""validity"": 1.0,
    ""overall"": 0.83
  },
  ""CleanHomeArabia.com"": {
    ""creativity"": 0.7,
    ""relevance"": 0.7,
    ""validity"": 1.0,
    ""overall"": 0.8
  }
}
```"
zero_shot,ice cream parlor in London,"Generate 3 domain names for this business. Business: ice cream parlor in London
Domains: 
1. icecreamlondon.com
2. icecreamcouncil.com
3. icecreamville.com
","```json
{
  ""creativity"": 0.3,
  ""relevance"": 0.8,
  ""validity"": 1.0,
  ""overall"": 0.7
}
```"
zero_shot,mental health counseling service in Paris,"Generate 3 domain names for this business. Business: mental health counseling service in Paris
Domains: mentalhealthcounselingparis.com, parismentalhealth.com, mentalhealthparis.co.uk
","```json
{
  ""mentalhealthcounselingparis.com"": {
    ""creativity"": 0.2,
    ""relevance"": 0.9,
    ""validity"": 1.0,
    ""overall"": 0.7
  },
  ""parismentalhealth.com"": {
    ""creativity"": 0.6,
    ""relevance"": 0.9,
    ""validity"": 1.0,
    ""overall"": 0.83
  },
  ""mentalhealthparis.co.uk"": {
    ""creativity"": 0.5,
    ""relevance"": 0.8,
    ""validity"": 0.9,
    ""overall"": 0.73
  }
}
```"
aug_lora,startup for pets in Singapore,"Generate 3 domain names for this business. Business: startup for pets in Singapore
Domains: petstartup.sg, petcare.com.sg, petsupplies.com.sg
","```json
{
  ""petstartup.sg"": {
    ""creativity"": 0.6,
    ""relevance"": 0.9,
    ""validity"": 1.0,
    ""overall"": 0.83
  },
  ""petcare.com.sg"": {
    ""creativity"": 0.3,
    ""relevance"": 0.9,
    ""validity"": 1.0,
    ""overall"": 0.73
  },
  ""petsupplies.com.sg"": {
    ""creativity"": 0.2,
    ""relevance"": 0.8,
    ""validity"": 1.0,
    ""overall"": 0.67
  }
}
```"
aug_lora,event planning company in Toronto,"Generate 3 domain names for this business. Business: event planning company in Toronto
Domains: eventplanningtoronto.com, partiesinToronto.com, TorontoEvents.com
","```json
{
  ""eventplanningtoronto.com"": {
    ""creativity"": 0.4,
    ""relevance"": 0.9,
    ""validity"": 1.0,
    ""overall"": 0.7666666666666667
  },
  ""partiesinToronto.com"": {
    ""creativity"": 0.7,
    ""relevance"": 0.8,
    ""validity"": 1.0,
    ""overall"": 0.8333333333333334
  },
  ""TorontoEvents.com"": {
    ""creativity"": 0.6,
    ""relevance"": 0.9,
    ""validity"": 1.0,
    ""overall"": 0.8333333333333334
  }
}
```"
aug_lora,event planning company in New York,"Generate 3 domain names for this business. Business: event planning company in New York
Domains: eventplanningnyc.com, partyplanningnyc.com, weddingplanningnyc.com
","```json
{
  ""creativity"": 0.2,
  ""relevance"": 0.9,
  ""validity"": 1.0,
  ""overall"": 0.7
}
```"
aug_lora,cybersecurity service provider in Tokyo,"Generate 3 domain names for this business. Business: cybersecurity service provider in Tokyo
Domains: protect-tokyo.com, secure-tech-japan.com, cyber-safety-solutions.net
","```json
{
  ""creativity"": 0.6,
  ""relevance"": 0.9,
  ""validity"": 1.0,
  ""overall"": 0.83
}
```"
aug_lora,micro-lending platform in Toronto,"Generate 3 domain names for this business. Business: micro-lending platform in Toronto
Domains: 
- 
- 
- 

- 
- 
- 
- 
- 
- 
- 
- 
- 
- 
- 
- 
- ","Okay, I need the domain name suggestions to evaluate. Please provide the list of domain names you want me to assess. Once you give me the list, I'll return a JSON object with the creativity, relevance, validity, and overall scores for each."
aug_lora,investment firm in New York,"Generate 3 domain names for this business. Business: investment firm in New York
Domains: 
- investmentfirmnyc.com 
- nycinvestors.com 
- investmentcoa.com
","```json
{
  ""creativity"": 0.3,
  ""relevance"": 0.8,
  ""validity"": 1.0,
  ""overall"": 0.7
}
```"
aug_lora,youth development program in Toronto,"Generate 3 domain names for this business. Business: youth development program in Toronto
Domains: youthdevelopment, totoronto, canadayouthdevelopment
","```json
{
  ""youthdevelopment"": {
    ""creativity"": 0.3,
    ""relevance"": 0.8,
    ""validity"": 1.0,
    ""overall"": 0.7
  },
  ""totoronto"": {
    ""creativity"": 0.6,
    ""relevance"": 0.4,
    ""validity"": 1.0,
    ""overall"": 0.6666666666666666
  },
  ""canadayouthdevelopment"": {
    ""creativity"": 0.4,
    ""relevance"": 0.7,
    ""validity"": 1.0,
    ""overall"": 0.7
  }
}
```"
aug_lora,organic skincare brand in Berlin,"Generate 3 domain names for this business. Business: organic skincare brand in Berlin
Domains: 
1. organicskincareberlin.com
2. organicskincareberlin.co.uk
3. organicskincareberlin.de
","```json
{
  ""creativity"": 0.1,
  ""relevance"": 0.9,
  ""validity"": 1.0,
  ""overall"": 0.6666666666666666
}
```"
aug_lora,luxury travel agency in Paris,"Generate 3 domain names for this business. Business: luxury travel agency in Paris
Domains: luxury-travel-paris.com, paris-luxury-travel.com, luxury-travel-paris.co.uk
","```json
{
  ""creativity"": 0.2,
  ""relevance"": 0.9,
  ""validity"": 1.0,
  ""overall"": 0.7
}
```"
aug_lora,film production house in San Francisco,"Generate 3 domain names for this business. Business: film production house in San Francisco
Domains: film-production.sf, SF_filmproduction, Film_Studio
","```json
{
  ""creativity"": 0.2,
  ""relevance"": 0.9,
  ""validity"": 0.7,
  ""overall"": 0.6
}
```"
aug_lora,educational game developer in Singapore,"Generate 3 domain names for this business. Business: educational game developer in Singapore
Domains: 
1. 
2. 
3. 

Domain 1: edu_game@gmail.com 
Domain 2: en_game@gmail.com 
Domain 3: singapore_game@gmail.","```json
{
  ""creativity"": 0.1,
  ""relevance"": 0.3,
  ""validity"": 0.0,
  ""overall"": 0.133
}
```"
aug_lora,food truck business in Singapore,"Generate 3 domain names for this business. Business: food truck business in Singapore
Domains: foodtruck.sg, foodtruckdelivery.com, foodtruckdelivery.asia
","```json
{
  ""foodtruck.sg"": {
    ""creativity"": 0.4,
    ""relevance"": 0.9,
    ""validity"": 1.0,
    ""overall"": 0.7666666666666667
  },
  ""foodtruckdelivery.com"": {
    ""creativity"": 0.5,
    ""relevance"": 0.8,
    ""validity"": 1.0,
    ""overall"": 0.7666666666666667
  },
  ""foodtruckdelivery.asia"": {
    ""creativity"": 0.5,
    ""relevance"": 0.8,
    ""validity"": 1.0,
    ""overall"": 0.7666666666666667
  }
}
```"
aug_lora,bakery and pastry shop in San Francisco,"Generate 3 domain names for this business. Business: bakery and pastry shop in San Francisco
Domains: bakerysf.com, pastriesf.com, SanFrancisco.com
","```json
{
  ""bakerysf.com"": {
    ""creativity"": 0.6,
    ""relevance"": 0.9,
    ""validity"": 1.0,
    ""overall"": 0.833
  },
  ""pastriesf.com"": {
    ""creativity"": 0.6,
    ""relevance"": 0.9,
    ""validity"": 1.0,
    ""overall"": 0.833
  },
  ""SanFrancisco.com"": {
    ""creativity"": 0.1,
    ""relevance"": 0.3,
    ""validity"": 1.0,
    ""overall"": 0.467
  }
}
```"
aug_lora,digital marketing agency in Tokyo,"Generate 3 domain names for this business. Business: digital marketing agency in Tokyo
Domains: 
- digital-marketing-japan.com
- japan-digital-agency.com
- tokyo-digital-marketing.com
","```json
{
  ""creativity"": 0.3,
  ""relevance"": 0.9,
  ""validity"": 1.0,
  ""overall"": 0.73
}
```"
aug_lora,cloud solutions provider in San Francisco,"Generate 3 domain names for this business. Business: cloud solutions provider in San Francisco
Domains: cloud.sf, cloud.com, cloud.co
","```json
{
  ""creativity"": 0.1,
  ""relevance"": 0.8,
  ""validity"": 0.9,
  ""overall"": 0.6
}
```"
